
Exp 1
2019-11-01 02:13:29.143382
1 | Test | rrse: 0.8572 | corr: 0.0948 | approx epoch time: 4.80s
2 | Test | rrse: 0.5927 | corr: 0.1629 | approx epoch time: 1.06s
3 | Test | rrse: 0.5997 | corr: 0.2057 | approx epoch time: 1.10s
4 | Test | rrse: 0.5860 | corr: 0.2200 | approx epoch time: 1.11s
5 | Test | rrse: 0.5171 | corr: 0.2741 | approx epoch time: 1.05s
6 | Test | rrse: 0.5077 | corr: 0.3288 | approx epoch time: 1.05s
7 | Test | rrse: 0.4619 | corr: 0.4185 | approx epoch time: 1.02s
8 | Test | rrse: 0.4509 | corr: 0.4744 | approx epoch time: 1.15s
9 | Test | rrse: 0.3905 | corr: 0.5374 | approx epoch time: 1.07s
10 | Test | rrse: 0.3491 | corr: 0.5750 | approx epoch time: 0.95s
11 | Test | rrse: 0.3259 | corr: 0.5846 | approx epoch time: 1.00s
12 | Test | rrse: 0.2917 | corr: 0.6001 | approx epoch time: 0.90s
13 | Test | rrse: 0.2955 | corr: 0.5945 | approx epoch time: 1.07s
14 | Test | rrse: 0.2643 | corr: 0.5848 | approx epoch time: 1.14s
16 | Test | rrse: 0.2574 | corr: 0.5806 | approx epoch time: 1.02s
17 | Test | rrse: 0.2581 | corr: 0.5976 | approx epoch time: 1.09s
22 | Test | rrse: 0.2201 | corr: 0.6041 | approx epoch time: 0.99s
34 | Test | rrse: 0.1511 | corr: 0.6331 | approx epoch time: 1.06s
35 | Test | rrse: 0.1459 | corr: 0.6503 | approx epoch time: 1.00s
36 | Test | rrse: 0.1395 | corr: 0.6558 | approx epoch time: 0.99s
37 | Test | rrse: 0.1333 | corr: 0.6721 | approx epoch time: 1.10s
39 | Test | rrse: 0.1233 | corr: 0.7318 | approx epoch time: 1.09s
42 | Test | rrse: 0.1110 | corr: 0.7601 | approx epoch time: 1.05s
44 | Test | rrse: 0.1012 | corr: 0.7755 | approx epoch time: 1.10s
45 | Test | rrse: 0.1021 | corr: 0.8310 | approx epoch time: 1.01s
49 | Test | rrse: 0.0936 | corr: 0.8525 | approx epoch time: 1.04s
52 | Test | rrse: 0.0809 | corr: 0.8533 | approx epoch time: 1.14s
53 | Test | rrse: 0.0788 | corr: 0.8220 | approx epoch time: 1.05s
55 | Test | rrse: 0.0798 | corr: 0.8509 | approx epoch time: 1.09s
56 | Test | rrse: 0.0801 | corr: 0.8582 | approx epoch time: 1.00s
57 | Test | rrse: 0.0708 | corr: 0.8260 | approx epoch time: 1.12s
61 | Test | rrse: 0.0632 | corr: 0.8206 | approx epoch time: 1.01s
62 | Test | rrse: 0.0642 | corr: 0.8229 | approx epoch time: 1.05s
68 | Test | rrse: 0.0628 | corr: 0.8805 | approx epoch time: 0.94s
69 | Test | rrse: 0.0599 | corr: 0.8414 | approx epoch time: 1.10s
70 | Test | rrse: 0.0580 | corr: 0.8452 | approx epoch time: 0.96s
72 | Test | rrse: 0.0578 | corr: 0.8754 | approx epoch time: 1.08s
73 | Test | rrse: 0.0611 | corr: 0.8580 | approx epoch time: 1.02s
74 | Test | rrse: 0.0575 | corr: 0.8859 | approx epoch time: 1.02s
76 | Test | rrse: 0.0559 | corr: 0.8742 | approx epoch time: 1.17s
77 | Test | rrse: 0.0546 | corr: 0.8485 | approx epoch time: 1.07s
79 | Test | rrse: 0.0556 | corr: 0.8853 | approx epoch time: 1.01s
84 | Test | rrse: 0.0557 | corr: 0.8697 | approx epoch time: 0.99s
85 | Test | rrse: 0.0536 | corr: 0.8669 | approx epoch time: 0.99s
86 | Test | rrse: 0.0535 | corr: 0.8608 | approx epoch time: 0.99s
87 | Test | rrse: 0.0546 | corr: 0.8622 | approx epoch time: 0.99s
88 | Test | rrse: 0.0538 | corr: 0.8758 | approx epoch time: 1.03s
93 | Test | rrse: 0.0521 | corr: 0.8761 | approx epoch time: 0.93s
94 | Test | rrse: 0.0523 | corr: 0.8929 | approx epoch time: 1.08s
98 | Test | rrse: 0.0554 | corr: 0.8953 | approx epoch time: 1.09s
100 | Test | rrse: 0.0517 | corr: 0.8891 | approx epoch time: 1.08s
101 | Test | rrse: 0.0519 | corr: 0.9024 | approx epoch time: 1.09s
107 | Test | rrse: 0.0482 | corr: 0.8982 | approx epoch time: 1.15s
112 | Test | rrse: 0.0480 | corr: 0.8928 | approx epoch time: 1.03s
114 | Test | rrse: 0.0499 | corr: 0.9135 | approx epoch time: 1.10s
115 | Test | rrse: 0.0468 | corr: 0.9120 | approx epoch time: 1.08s
