UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,191200117,04/30/2019,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,205,Wildwood (NPU-C),C,33.81022,-84.41347,
LARCENY-FROM VEHICLE,191200323,04/30/2019,1812 HONEYSUCKLE LN SW  ,410,Campbellton Road,R,33.70587,-84.45434,
LARCENY-FROM VEHICLE,191200341,04/30/2019,556 NORTHSIDE DR SW      ,303,Pittsburgh,V,33.74007,-84.40778,
LARCENY-FROM VEHICLE,191200367,04/30/2019,1137 HUDSON DR NE,601,Virginia Highland,F,33.78072,-84.35004,
LARCENY-FROM VEHICLE,191200380,04/30/2019,311 SCOTT ST SW,406,,I,33.74901,-84.49482,
LARCENY-FROM VEHICLE,191200416,04/30/2019,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82296,-84.36346,
LARCENY-FROM VEHICLE,191200441,04/30/2019,1406 GRAHAM ST SW,301,Capitol View,X,33.71648,-84.41585,
LARCENY-FROM VEHICLE,191200531,04/30/2019,3635 E PACES CIR NE,210,Ridgedale Park,B,33.84925,-84.35302,
LARCENY-FROM VEHICLE,191200566,04/30/2019,727 ERIN AVE SW,301,Capitol View,X,33.71975,-84.41155,
LARCENY-FROM VEHICLE,191200899,04/30/2019,1104 WOODBRIDGE HOLW NE,613,,F,33.79127,-84.3448,
LARCENY-FROM VEHICLE,191200960,04/30/2019,344 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70611,-84.37749,
LARCENY-FROM VEHICLE,191200981,04/30/2019,1000 NORTHSIDE DR NW,501,Home Park,E,33.78194,-84.40758,
LARCENY-FROM VEHICLE,191201121,04/30/2019,1700 PIEDMONT AVE NE,613,Piedmont Heights,F,33.80227,-84.36827,
LARCENY-FROM VEHICLE,191201351,04/30/2019,1127 MOORES MILL RD NW,201,Westminster/Milmar,C,33.83397,-84.42494,
LARCENY-FROM VEHICLE,191201560,04/30/2019,857 COLLIER RD NW,205,Wildwood (NPU-C),C,33.80986,-84.41626,
LARCENY-FROM VEHICLE,191202108,04/30/2019,4472 CAMPBELLTON RD ,413,Elmco Estates,P,33.68775,-84.53073,
LARCENY-FROM VEHICLE,191202136,04/30/2019,878 PEACHTREE ST NE,505,Midtown,E,33.7788,-84.38438,
LARCENY-FROM VEHICLE,191202170,04/30/2019,230 10TH ST NE,502,Midtown,E,33.78187,-84.37981,
LARCENY-FROM VEHICLE,191202216,04/30/2019,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751,
LARCENY-FROM VEHICLE,191202295,04/30/2019,1170 COLLIER RD NW,204,,C,33.81127,-84.42595,
LARCENY-FROM VEHICLE,191202381,04/30/2019,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051,
LARCENY-FROM VEHICLE,191202422,04/30/2019,939 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77351,-84.35663,
LARCENY-FROM VEHICLE,191202447,04/30/2019,17 BAKER ST NW,508,Downtown,M,33.76235,-84.38819,
LARCENY-NON VEHICLE,191200121,04/30/2019,356 BOULEVARD NE,603,Old Fourth Ward,M,33.76421,-84.37206,
LARCENY-NON VEHICLE,191200679,04/30/2019,486 PONCE DE LEON AVE NE,614,Midtown,E,33.77379,-84.37122,
LARCENY-NON VEHICLE,191200798,04/30/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,191201184,04/30/2019,1001 NORTHSIDE DR NW,501,Home Park,E,33.7819,-84.40707,
