,Occur Time,UCR Literal_AGG ASSAULT,UCR Literal_AUTO THEFT,UCR Literal_BURGLARY-NONRES,UCR Literal_BURGLARY-RESIDENCE,UCR Literal_HOMICIDE,UCR Literal_LARCENY-FROM VEHICLE,UCR Literal_LARCENY-NON VEHICLE,UCR Literal_MANSLAUGHTER,UCR Literal_ROBBERY-COMMERCIAL,UCR Literal_ROBBERY-PEDESTRIAN,UCR Literal_ROBBERY-RESIDENCE
0,2018110100,0,0,0,0,0,0,1,0,0,0,0
1,2018112300,0,0,0,0,0,0,1,0,0,0,0
2,2018120100,0,0,0,1,0,0,0,0,0,0,0
3,2018121000,0,0,0,0,0,0,1,0,0,0,0
4,2018121200,0,1,0,0,0,0,0,0,0,0,0
5,2018121400,0,0,0,0,0,1,0,0,0,0,0
6,2018122000,0,0,0,0,0,0,1,0,0,0,0
7,2018122300,0,0,0,0,0,0,1,0,0,0,0
8,2018122800,0,0,0,0,0,0,1,0,0,0,0
9,2018122900,0,0,0,0,0,0,1,0,0,0,0
10,2018123100,0,0,0,0,0,1,4,0,0,0,0
11,2019010100,1,0,0,0,0,0,0,0,0,0,0
12,2019010200,0,0,0,0,0,1,0,0,0,0,0
13,2019010300,1,0,0,0,0,2,0,0,0,0,0
14,2019010400,1,1,0,0,0,6,0,0,0,0,0
15,2019010500,0,1,0,0,0,4,0,0,0,0,0
16,2019010600,1,0,0,0,0,4,0,0,0,2,0
17,2019010700,0,0,0,0,0,2,2,0,0,0,0
18,2019010800,0,0,0,1,0,4,1,0,0,0,0
19,2019010900,1,0,0,0,0,2,1,0,0,0,0
20,2019011000,0,0,0,0,0,3,0,0,0,0,0
21,2019011100,0,2,0,0,0,2,0,0,0,0,0
22,2019011200,0,3,0,0,0,2,2,0,0,0,0
23,2019011300,0,1,0,0,0,1,0,0,0,0,0
24,2019011400,0,0,0,2,0,0,0,0,0,0,0
25,2019011500,0,0,1,0,0,2,1,0,0,0,0
26,2019011600,0,4,0,0,0,3,4,0,0,0,0
27,2019011700,0,0,1,0,0,5,0,0,0,0,0
28,2019011800,0,0,0,0,0,1,2,0,0,0,0
29,2019011900,0,0,0,0,0,2,1,0,0,0,0
30,2019012000,0,0,0,0,0,1,1,0,0,0,0
31,2019012100,0,1,0,0,0,4,1,0,0,1,0
32,2019012200,0,1,0,0,0,5,1,0,0,0,0
33,2019012300,0,0,0,0,0,0,1,0,0,0,0
34,2019012400,0,0,0,0,0,1,1,0,0,0,0
35,2019012500,0,1,0,0,0,1,1,0,0,0,0
36,2019012600,0,0,0,0,0,1,0,0,0,0,0
37,2019012700,0,0,0,0,0,5,0,0,0,0,0
38,2019012800,0,0,0,0,0,1,0,0,0,0,0
39,2019012900,0,1,1,0,0,1,1,0,0,1,0
40,2019013000,0,0,0,0,0,1,2,0,0,1,0
41,2019013100,0,0,0,1,0,0,0,0,0,1,0
42,2019020100,0,0,0,1,0,2,2,0,0,0,0
43,2019020200,0,1,0,0,0,1,1,0,0,0,0
44,2019020300,0,0,0,0,0,2,2,0,0,0,0
45,2019020400,0,0,0,0,0,2,1,0,0,0,0
46,2019020500,1,1,0,1,0,2,2,0,0,0,0
47,2019020700,0,1,0,0,0,3,0,0,0,0,0
48,2019020800,0,1,0,0,0,3,2,0,0,0,0
49,2019020900,0,1,0,0,0,3,1,0,1,0,0
50,2019021000,0,1,0,0,0,2,0,0,0,0,0
51,2019021100,0,0,0,0,0,2,1,0,0,0,0
52,2019021200,0,0,0,0,0,5,2,0,0,0,0
53,2019021300,1,1,0,0,0,0,0,0,0,0,0
54,2019021400,0,2,0,0,0,1,0,0,0,0,0
55,2019021500,0,1,0,0,0,4,3,0,0,0,0
56,2019021600,0,1,0,0,0,1,3,0,0,0,0
57,2019021700,0,0,1,0,0,1,1,0,0,0,0
58,2019021800,0,0,1,1,0,3,0,0,0,0,0
59,2019021900,0,0,0,0,0,1,3,0,0,0,0
60,2019022000,0,0,0,0,0,1,0,0,0,0,0
61,2019022200,0,0,0,2,0,3,2,0,0,0,0
62,2019022300,0,0,0,1,0,3,1,0,0,0,0
63,2019022400,1,0,0,0,0,1,1,0,0,0,0
64,2019022500,0,0,0,0,0,1,1,0,0,0,0
65,2019022600,0,0,0,0,0,2,0,0,0,1,0
66,2019022700,0,0,0,0,0,0,3,0,0,0,0
67,2019022800,0,0,0,0,0,3,2,0,0,1,0
68,2019030100,0,0,0,1,0,4,2,0,1,0,0
69,2019030200,0,0,0,0,0,1,1,0,0,0,0
70,2019030300,0,0,0,0,0,1,0,0,0,0,0
71,2019030400,0,0,0,0,0,0,3,0,0,0,0
72,2019030500,0,0,0,0,0,0,1,0,0,0,0
73,2019030600,0,0,0,0,0,1,1,0,0,0,0
74,2019030700,0,1,1,0,0,0,1,0,0,0,0
75,2019030800,1,0,0,0,0,1,0,0,0,1,0
76,2019030900,0,0,0,0,0,2,1,0,0,1,0
77,2019031000,0,0,0,0,0,2,0,0,0,0,0
78,2019031100,0,1,0,0,0,0,0,0,0,0,0
79,2019031200,0,0,1,0,0,1,1,0,0,1,0
80,2019031300,0,0,0,0,0,2,3,0,0,0,0
81,2019031400,1,0,0,0,0,0,2,0,0,0,0
82,2019031500,0,0,0,0,0,4,0,0,0,0,0
83,2019031600,1,1,0,0,0,2,3,0,0,0,0
84,2019031700,0,1,0,0,0,2,2,0,0,0,0
85,2019031800,0,0,0,0,0,1,3,0,0,0,0
86,2019032000,0,0,0,0,0,2,1,0,0,0,0
87,2019032100,0,1,0,0,0,0,1,0,0,0,0
88,2019032200,0,1,0,0,0,2,0,0,0,0,0
89,2019032300,0,0,0,0,0,4,1,0,0,0,0
90,2019032400,0,0,0,0,0,0,1,0,0,0,0
91,2019032500,0,1,0,0,0,2,0,0,0,0,0
92,2019032600,0,2,0,0,0,2,0,0,0,1,0
93,2019032700,0,1,0,0,0,0,2,0,0,0,0
94,2019032800,0,0,0,0,0,1,2,0,0,0,0
95,2019032900,0,2,0,0,0,1,1,0,0,0,0
96,2019033000,0,1,0,0,0,1,1,0,0,0,0
97,2019033100,0,1,0,0,0,0,1,0,0,0,0
98,2019040100,0,0,0,0,0,1,0,0,0,0,0
99,2019040200,0,0,0,0,0,2,1,0,0,0,0
100,2019040300,0,0,0,0,0,2,1,0,0,0,0
101,2019040400,1,0,0,0,0,2,0,0,0,0,0
102,2019040600,0,0,0,0,0,3,0,0,0,0,0
103,2019040700,1,0,0,0,0,0,0,0,0,0,0
104,2019040800,0,0,0,0,0,1,0,0,0,0,0
105,2019040900,0,0,0,0,0,1,1,0,1,0,0
106,2019041000,0,0,0,0,0,2,2,0,1,0,0
107,2019041100,1,0,0,0,0,2,0,0,0,0,0
108,2019041200,0,0,0,0,0,3,0,0,0,0,0
109,2019041300,0,0,0,0,0,1,0,0,0,0,0
110,2019041400,0,0,0,1,0,0,1,0,0,1,0
111,2019041500,0,0,0,1,0,1,0,0,0,0,0
112,2019041600,0,0,0,0,0,1,0,0,0,0,0
113,2019041700,0,0,0,0,0,2,0,0,0,0,0
114,2019041900,0,0,0,0,0,2,0,0,1,0,0
115,2019042000,0,0,0,0,0,2,2,0,0,0,0
116,2019042100,0,0,0,0,0,2,0,0,0,0,0
117,2019042200,0,0,0,0,0,1,0,0,0,0,0
118,2019042300,0,2,0,0,0,2,2,0,0,1,0
119,2019042400,0,0,0,0,0,0,1,0,0,0,0
120,2019042500,0,2,0,0,0,0,1,0,0,0,0
121,2019042600,0,0,0,1,0,2,1,0,0,0,0
122,2019042700,0,1,0,0,0,3,1,0,0,0,0
123,2019042800,0,1,0,0,1,2,1,0,1,0,0
124,2019043000,0,1,0,0,0,3,3,0,0,0,0
125,2019050100,0,0,0,0,0,3,1,0,0,0,0
126,2019050200,0,0,0,0,0,2,0,0,0,0,0
127,2019050300,0,0,0,0,0,2,1,0,0,0,0
128,2019050400,0,1,0,0,0,6,0,0,0,0,0
129,2019050500,0,2,0,0,0,3,1,0,0,0,0
130,2019050600,0,0,0,0,0,1,2,0,0,0,0
131,2019050700,0,1,1,0,0,1,0,0,0,0,0
132,2019050800,0,0,0,0,0,3,2,0,0,0,0
133,2019050900,0,1,0,0,0,3,0,0,0,0,0
134,2019051000,0,0,0,0,0,2,1,0,0,0,0
135,2019051100,1,0,0,0,0,4,0,0,0,0,0
136,2019051200,0,0,0,0,0,1,3,0,0,0,0
137,2019051300,1,0,0,0,0,7,1,0,0,1,0
138,2019051400,0,1,0,0,0,3,3,0,0,0,0
139,2019051500,1,0,0,0,0,0,3,0,0,0,0
140,2019051600,0,3,0,0,0,3,0,0,0,0,0
141,2019051700,2,1,0,0,0,4,2,0,0,0,0
142,2019051800,0,0,0,0,0,2,0,0,0,0,0
143,2019051900,1,0,0,0,0,9,2,0,0,0,0
144,2019052000,0,1,0,1,0,0,2,0,0,0,0
145,2019052100,0,0,0,0,0,2,1,0,0,0,0
146,2019052200,0,0,0,1,0,3,1,0,0,0,0
147,2019052300,0,1,0,0,0,1,3,0,0,0,0
148,2019052400,2,0,0,0,0,3,1,0,0,1,0
149,2019052500,0,1,0,0,0,1,3,0,0,0,0
150,2019052600,1,0,0,0,0,3,0,0,0,0,0
151,2019052700,0,1,0,0,0,4,0,0,0,0,0
152,2019052800,0,0,0,1,0,1,2,0,0,0,0
153,2019052900,0,0,0,0,0,3,0,0,0,0,0
154,2019053000,0,0,0,0,0,3,2,0,0,0,0
155,2019053100,1,1,0,0,0,1,2,0,0,0,0
156,2019060100,0,1,0,0,0,4,0,0,0,0,0
157,2019060200,1,0,0,1,0,2,0,0,0,0,0
158,2019060300,0,2,0,1,0,3,0,0,0,0,0
159,2019060400,0,0,0,0,0,1,1,0,0,0,0
160,2019060500,0,0,0,1,0,2,0,0,0,0,0
161,2019060600,0,0,0,0,0,3,1,0,0,0,0
162,2019060700,0,1,0,0,0,4,1,0,0,0,0
163,2019060800,0,0,0,0,0,1,2,0,0,0,0
164,2019060900,0,2,0,0,0,4,2,0,0,1,0
